,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23805,White Eyes,/app/1676720/,2021-07-26,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",Chocolate Ship Games,Chocolate Ship Games,Engine.Unity,2022-11-29,,0,0,1,2021-07-26
23806,MEMORIES,/app/1679180/,2021-09-14,1,1,0,1,59.42,Indie (23),"Adventure (25), Indie (23), Early Access (70)",Dissident Interactive,Dissident Interactive,nan,2022-01-05,,0,0,1,2021-09-14
23807,Profectus,/app/1683610/,2021-07-30,3,1,0,1,59.42,Simulation (28),"Adventure (25), Indie (23), Simulation (28), Early Access (70)",Alrek Studios,Alrek Studios,nan,2023-01-30,,0,0,3,2021-08-02
23808,Oval Racer Series - Sandbox,/app/1683630/,2021-11-19,2,1,0,1,59.42,Racing (9),"Action (1), Racing (9), Simulation (28), Sports (18), Early Access (70)",Oval Games,Oval Games,nan,2021-12-17,,0,0,2,2021-11-19
23809,Metal Faith,/app/1684240/,2021-08-02,1,1,0,1,59.42,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Youth Game,Youth Game,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2021-07-15,,0,0,1,2021-08-02
23810,Zombardment,/app/1685550/,2021-08-31,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",SoulTrader,SoulTrader,Engine.Unity; SDK.UnityURP,2021-08-16,,0,0,1,2021-08-31
23811,Ayoub Episode 2,/app/1687070/,2021-09-22,1,1,0,1,59.42,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3)",سار الترفيهية,سار الترفيهية,Engine.RenPy,2022-08-26,,0,0,1,2021-09-22
23812,VR Eagles of Victorian England,/app/1689030/,2021-07-26,2,1,0,1,59.42,Casual (4),Casual (4),William at Oxford,William at Oxford,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-07-25,,0,0,2,2021-08-16
23813,Hinata in Hot Maze,/app/1692170/,2021-09-02,1,1,0,1,59.42,Early Access (70),"Action (1), Adventure (25), Casual (4), Indie (23), Early Access (70)",DIGITAL ART TEAM,DIGITAL ART TEAM,nan,2021-09-03,,0,0,1,2021-09-02
23814,Sneezeman: Escape From Planet Sneeze,/app/1692220/,2021-10-01,1,1,0,1,59.42,Indie (23),"Action (1), Indie (23)",50000 Leagues Ltd,50000 Leagues Ltd,Engine.Unity; SDK.cURL,2023-04-11,,0,0,1,2021-10-06
23815,Pop's,/app/1693010/,2021-11-01,2,1,0,1,59.42,Indie (23),Indie (23),Microbe Games,Microbe Games,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenXR; SDK.cURL,2021-11-01,,0,0,2,2022-12-31
23816,Simple Sky,/app/1694740/,2021-09-22,2,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23)",Donnie Larson,Donnie Larson,Engine.Unity,2021-09-22,,0,0,2,2021-09-23
23817,Bunny Puzzle,/app/1695600/,2021-10-15,1,1,0,1,59.42,Casual (4),"Casual (4), Indie (23)",Fishhead,Fishhead Games,Engine.Unity; SDK.cURL,2021-08-30,,0,0,1,2021-10-15
23818,Color by Number - Medieval Portrait,/app/1697470/,2021-08-03,2,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28), Sports (18), Strategy (2)",Boogygames Studios,Boogygames Studios,Engine.Unity,2021-07-17,,0,0,2,2021-08-19
23819,Qualia's Sweets Craft / クオリアのお菓子工房,/app/1699490/,2021-08-27,2,1,0,1,59.42,Action (1),"Action (1), Casual (4)",disfact,disfact,nan,2021-08-02,,0,0,2,2021-08-28
23820,Tales from Ahrum,/app/1700840/,2021-10-10,3,1,0,1,59.42,Indie (23),"Indie (23), RPG (3)",Marcos S Junqueira,Marcos S Junqueira,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2021-09-11,,0,0,3,2021-10-22
23821,HangTogether,/app/1701400/,2021-09-01,4,1,0,1,59.42,Casual (4),"Casual (4), Indie (23), Strategy (2)",Crowbox Interactive,Crowbox Interactive,Engine.Godot,2021-09-01,,0,0,4,2021-09-18
23822,Mind Space,/app/1702350/,2021-11-15,1,1,0,1,59.42,Action (1),Action (1),Palinoia Studios,SuperCooledGames,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-01-31,,0,0,1,2021-10-01
23823,Burning Brick Breaker,/app/1703010/,2021-09-13,2,1,0,1,59.42,Casual (4),"Action (1), Casual (4)",David Bryant,David Bryant,Engine.Unity,2021-08-27,,0,0,2,2021-09-13
23824,Chromancy,/app/1704260/,2021-08-07,2,1,0,1,59.42,Action (1),"Action (1), Casual (4), Free to Play (37), Indie (23)",Eugene Tan Jianpeng,Eugene Tan Jianpeng,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-04-14,,0,0,2,2021-12-25
23825,The other side: My own horror,/app/1706130/,2021-08-27,1,1,0,1,59.42,Indie (23),"Adventure (25), Indie (23)",DrommerKode,DrommerKode,Engine.GameMaker,2021-10-06,,0,0,1,2021-08-30
23826,Unionatic,/app/1706260/,2021-10-10,3,1,0,1,59.42,Strategy (2),"Action (1), Adventure (25), Indie (23), Strategy (2), Early Access (70)",BananaJellyBean Studios,BananaJellyBean Studios,Engine.Unity; SDK.UnityBurst; SDK.UnityURP,2021-10-27,,0,0,3,2021-10-10
23827,Adventurers Guild,/app/1706720/,2021-09-06,2,1,0,1,59.42,RPG (3),"RPG (3), Strategy (2)",Game Delivery,Game Delivery,Engine.RPGMaker; SDK.NWJS,2021-08-23,,0,0,2,2021-09-07
