,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
6964,Sweet Car Wash,/app/1914000/,2022-08-21,3,14,1,15,74.53,Indie (23),"Casual (4), Indie (23)",Kotovodk Studio,Kotovodk Studio,Engine.Unity,2022-08-11,93.0,0,2,3,2022-08-21
6965,StudioS Fighters: Climax Champions,/app/1924820/,2022-06-17,6,14,1,15,74.53,Action (1),"Action (1), Indie (23)",Eroge Japan,StudioS,nan,2022-05-02,93.0,0,1,6,2022-06-18
6966,Tobor Party,/app/1932330/,2022-04-24,8,14,1,15,74.53,Racing (9),"Casual (4), Indie (23), Racing (9)",Tryston Minsquero,Tryston Minsquero,Engine.Unity; SDK.UnityURP; SDK.cURL,2022-04-13,93.0,0,1,8,2022-04-28
6967,Square Keeper,/app/1944730/,2022-06-09,3,14,1,15,74.53,Indie (23),"Adventure (25), Indie (23)",JanduSoft,KanakStudio,Engine.Unity; SDK.UnityURP,2022-05-26,93.0,0,0,3,2022-06-09
6968,Industrial Trouble,/app/1949780/,2022-05-08,2,14,1,15,74.53,Indie (23),Indie (23),kovalevrme,Leonob,Engine.GameMaker,2022-04-10,93.0,0,0,2,2022-05-08
6969,Moi Mei: Hidden Objects,/app/1967950/,2022-05-18,2,14,1,15,74.53,Adventure (25),"Adventure (25), Indie (23), Early Access (70)",Studio2760,Dnovel,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,2022-05-17,93.0,1,1,2,2022-05-18
6970,Green Diver,/app/1981860/,2022-06-20,3,14,1,15,74.53,Adventure (25),"Adventure (25), Casual (4), Indie (23), Early Access (70)",Studio2760,Dnovel,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,2022-05-29,93.0,0,0,3,2022-06-21
6971,Jettatura,/app/2023440/,2022-10-16,10,14,1,15,74.53,RPG (3),"Adventure (25), RPG (3)",Kyoto Cybernetics,Nick Baker,SDK.SDL; SDK.Vorbis,2023-04-14,93.0,0,1,10,2022-10-24
6972,TAXINAUT,/app/2082260/,2022-09-15,8,14,1,15,74.53,Indie (23),"Adventure (25), Indie (23), Simulation (28), Early Access (70)",mosgrom,mosgrom,SDK.JVM,2022-07-13,93.0,1,2,8,2022-09-20
6973,Cats Yakuza - Online card game,/app/2083670/,2022-07-30,6,14,1,15,74.53,Indie (23),"Casual (4), Indie (23)",kan.kikuchi,kan.kikuchi,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-07-18,93.0,0,2,6,2022-08-02
6974,All Hallows Evie,/app/2084620/,2022-10-06,3,14,1,15,74.53,Indie (23),Indie (23),Auld Games,Auld Games,nan,2022-09-27,93.0,0,0,3,2022-10-07
6975,Noblesse Oblige,/app/2094620/,2022-08-25,28,14,1,15,74.53,Indie (23),"Indie (23), RPG (3)",Choice of Games,Choice of Games,Container.Electron,2022-07-19,93.0,0,1,28,2022-08-25
6976,Superhero Girls,/app/2113650/,2022-08-24,2,14,1,15,74.53,Indie (23),"Casual (4), Indie (23)",IR Studio,IR Studio,Engine.Unity,2022-08-22,93.0,0,1,2,2022-09-30
6977,Ean's End,/app/2114240/,2022-09-21,5,14,1,15,74.53,Indie (23),"Casual (4), Indie (23), RPG (3)",u_twinkle_star,u_twinkle_star,Engine.Unity,2022-09-13,93.0,0,0,5,2022-09-21
6978,Demolish or Die,/app/2147890/,2022-11-10,6,14,1,15,74.53,Action (1),"Action (1), Early Access (70)",Occult Software,Douglas Rocha Vasco,Engine.Unity,2023-03-31,93.0,0,1,6,2022-11-22
6979,Me With Me,/app/2181710/,2022-11-03,3,14,1,15,74.53,Indie (23),"Adventure (25), Casual (4), Indie (23)",YenThe Studio,Nguyen Thanh Nhon,Engine.Unity; SDK.UnityURP; SDK.cURL,2022-10-18,93.0,0,1,3,2022-11-04
6980,Two Skateboards Driving Simulator,/app/2183470/,2022-12-08,2,14,1,15,74.53,Sports (18),"Adventure (25), Casual (4), Indie (23), Simulation (28), Sports (18), Strategy (2)",Pilon K,Pilon K,Engine.Unity; SDK.cURL,2022-10-11,93.0,0,0,2,2022-12-23
6981,Kalzoon,/app/2206690/,2022-11-23,2,14,1,15,74.53,Indie (23),Indie (23),RAMRISK,8BITLAB,Engine.GameMaker,2022-11-13,93.0,0,0,2,2022-11-23
6982,Golem Builder,/app/2239340/,2022-12-20,7,14,1,15,74.53,Strategy (2),"Casual (4), Indie (23), Strategy (2)",PinkySoul,PinkySoul,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-12-10,93.0,0,2,7,2022-12-20
6983,WHAT THE BAT?,/app/2012100/,2022-11-17,9,37,6,43,74.51,Casual (4),"Casual (4), Indie (23), Simulation (28)",Triband,Triband,Engine.Unity; SDK.OpenXR; SDK.UnityBurst; SDK.UnityURP; SDK.Wwise; SDK.cURL,2023-03-14,86.0,0,2,9,2022-11-19
6984,Sex Toys,/app/2180740/,2022-12-02,9,37,6,43,74.51,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",LTZinc,LTZinc,SDK.NWJS; SDK.NodeJS,2022-12-02,86.0,0,2,9,2022-12-02
6985,Zerograve,/app/1218580/,2022-05-16,3,19,2,21,74.51,Action (1),"Action (1), Indie (23)",Ebonscale Games,Ebonscale Games,Engine.Unity,2021-11-11,90.0,0,1,3,2022-05-16
6986,Draco Knight,/app/1218640/,2022-04-25,3,19,2,21,74.51,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",TeamHen,TeamHen,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-02-04,90.0,0,0,3,2022-04-25
6987,夢游仙境ロマネスク: Chronicles of Refugia,/app/1499690/,2022-08-27,20,19,2,21,74.51,Indie (23),"Adventure (25), Casual (4), Indie (23)",YOX-Project,Medium,nan,2022-10-23,90.0,0,1,20,2022-08-27
6988,Legendary Tales: Сataclysm,/app/1728690/,2022-01-03,18,19,2,21,74.51,Adventure (25),Adventure (25),FIVE-BN GAMES,FIVE-BN GAMES,SDK.XAudio2,2021-12-17,90.0,1,3,18,2023-02-19
6989,BounceShot,/app/1736980/,2022-05-10,5,19,2,21,74.51,Action (1),"Action (1), Indie (23)",Cottage Street Interactive,Cottage Street Interactive,nan,2022-05-06,90.0,0,0,5,2022-05-10
6990,Magitek VR,/app/1745280/,2022-10-11,4,19,2,21,74.51,Adventure (25),"Action (1), Adventure (25), Indie (23), RPG (3), Early Access (70)",Tek Studios,Liam Poli,nan,2023-03-17,90.0,0,1,4,2022-10-12
6991,Catnight,/app/1779070/,2022-03-07,7,19,2,21,74.51,Action (1),"Action (1), Casual (4), Indie (23), Early Access (70)",Rubber Croc,Rubber Croc,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-10-28,90.0,0,0,7,2022-04-06
6992,Funtasia,/app/1795010/,2022-09-29,12,19,2,21,74.51,Racing (9),"Action (1), Indie (23), Racing (9)",Freedom Games,Fantastico Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst,2022-09-29,90.0,0,1,12,2022-09-29
6993,THE GAME,/app/1839420/,2022-02-25,2,19,2,21,74.51,Indie (23),"Casual (4), Indie (23), RPG (3)",Kyonbu,Kyonbu,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-04-14,90.0,0,0,2,2022-02-27
6994,The Duck Is In Danger,/app/1841720/,2022-01-11,3,19,2,21,74.51,Indie (23),"Adventure (25), Casual (4), Indie (23)",Quarlellle,Quarlellle,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2021-12-04,90.0,0,0,3,2022-01-11
6995,Phonetic,/app/1881270/,2022-02-25,4,19,2,21,74.51,Casual (4),"Casual (4), Free to Play (37), Indie (23)",Cameron Wang,Cameron Wang,Engine.Unity,2022-02-11,90.0,0,1,4,2022-02-27
6996,ALAN-13 Reformation,/app/1888130/,2022-05-11,17,19,2,21,74.51,Indie (23),"Indie (23), Strategy (2)",smithandcherryapps,Viktor Kovács,nan,2023-02-23,90.0,0,1,17,2022-08-30
6997,The Quintessential Quintuplets OMOIDE VR ~ITSUKI~,/app/1968570/,2022-10-13,14,19,2,21,74.51,Adventure (25),"Adventure (25), Casual (4)",NextNinja,Blackc,Engine.Unity; SDK.OpenXR; SDK.UnityBurst,2022-06-23,90.0,0,2,14,2022-10-13
6998,无神塔,/app/1973630/,2022-05-13,3,19,2,21,74.51,Indie (23),"Action (1), Adventure (25), Free to Play (37), Indie (23)",JXTD,JXTD,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-04-23,90.0,0,0,3,2022-07-23
6999,Neko Girls,/app/2114670/,2022-08-25,3,19,2,21,74.51,Indie (23),"Casual (4), Indie (23)",IR Studio,IR Studio,Engine.Unity,2022-08-22,90.0,0,1,3,2022-08-31
7000,CyberHeroes Arena,/app/2145550/,2022-09-27,4,19,2,21,74.51,Action (1),"Action (1), Indie (23), RPG (3), Strategy (2)",RainForest Games,RainForest Games,SDK.NWJS; SDK.NodeJS,2022-09-27,90.0,0,0,4,2022-09-27
7001,Jigsaw Puzzle Best Places,/app/2208070/,2022-12-16,11,19,2,21,74.51,Casual (4),"Casual (4), Strategy (2)",Tribus Games Indie,Tribus Games Indie,Engine.Unity; SDK.cURL,2022-11-07,90.0,1,2,11,2023-02-15
7002,Sker Ritual,/app/1492070/,2022-10-06,237,401,107,508,74.5,Action (1),"Action (1), Indie (23), Early Access (70)",Wales Interactive,Wales Interactive,Engine.Unity; SDK.FMOD; SDK.NVIDIA_DLSS; SDK.UnityBurst; SDK.cURL,2023-03-21,78.0,7,12,237,2022-10-06
7003,EBOLA 3,/app/1547860/,2022-09-18,60,199,49,248,74.5,Action (1),"Action (1), Adventure (25), Indie (23)",indie_games_studio,indie_games_studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2023-01-07,80.0,0,3,60,2022-09-03
7004,RUINSMAGUS,/app/1701560/,2022-07-07,56,119,27,146,74.49,RPG (3),"Action (1), RPG (3)",CharacterBank inc,CharacterBank inc,Engine.Unity; SDK.CRIWARE; SDK.OpenXR; SDK.UnityBurst,2022-07-25,81.0,0,3,56,2022-07-08
7005,Fargone,/app/2242100/,2022-12-23,54,104,23,127,74.49,RPG (3),"Action (1), RPG (3), Simulation (28), Early Access (70)",RedDot Games,RedDot Games,Engine.Unity; SDK.UnityBurst,2023-02-21,81.0,3,7,54,2023-02-13
7006,Omega Pilot,/app/1933050/,2022-09-02,9,77,16,93,74.44,Action (1),"Action (1), Indie (23), Racing (9)",XOCUS,XOCUS,Engine.Unity; SDK.FMOD; SDK.OpenXR; SDK.Photon; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-04-06,82.0,0,1,9,2022-09-03
7007,Mythicard,/app/1393460/,2022-11-06,23,41,7,48,74.44,Strategy (2),"Casual (4), Free to Play (37), Indie (23), Massively Multiplayer (29), Strategy (2)",Crackoder,Crackoder,Engine.Unity; SDK.UnityURP; SDK.cURL,2020-08-18,85.0,0,2,23,2022-11-06
7008,Acolyte,/app/1516330/,2022-06-28,15,41,7,48,74.44,Adventure (25),"Adventure (25), Strategy (2)",Superstring,Superstring,Engine.Unity; SDK.OpenSSL; SDK.SteamworksNET; SDK.cURL,2022-09-05,85.0,0,0,15,2022-06-30
7009,171,/app/1269370/,2022-11-17,1266,1861,556,2417,74.41,Action (1),"Action (1), Indie (23), Early Access (70)",Betagames Group,Betagames Group,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-11-15,77.0,72,72,1266,2022-11-18
7010,Bail or Jail,/app/1715980/,2022-07-21,72,133,31,164,74.41,Action (1),"Action (1), Casual (4), Sports (18)",Konami Digital Entertainment,FREE STYLE Inc.,Engine.Unity; SDK.Discord,2023-02-16,81.0,1,6,72,2022-07-21
7011,Cute BAR,/app/1844300/,2022-01-06,4,28,4,32,74.41,Indie (23),"Casual (4), Indie (23)",Kotovodk Studio,Kotovodk Studio,Engine.Unity,2021-12-23,87.0,0,0,4,2022-01-07
7012,Dadish 3,/app/1969830/,2022-06-14,7,28,4,32,74.41,Indie (23),"Action (1), Adventure (25), Indie (23)",Thomas K. Young,Thomas K. Young,Engine.GameMaker,2022-05-21,82.0,0,2,7,2022-06-17
7013,The Tale of Onogoro,/app/2023880/,2022-09-28,10,28,4,32,74.41,Adventure (25),"Action (1), Adventure (25), Indie (23)",AMATA K.K.,AMATA K.K.,Engine.Unity; SDK.OpenVR; SDK.OpenXR; SDK.UnityBurst; SDK.Vorbis; SDK.cURL,2022-08-22,84.0,0,4,10,2022-10-06
7014,Hi Eggplant!,/app/2091640/,2022-09-16,5,28,4,32,74.41,Indie (23),"Casual (4), Indie (23), RPG (3), Simulation (28)",AvaXiang,AvaXiang,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-09-16,87.0,0,0,5,2022-09-18
7015,Villain's Legacy,/app/2211090/,2022-12-13,82,69,14,83,74.4,Adventure (25),"Adventure (25), Indie (23), Early Access (70)",Mad scientist lab,Mad scientist lab,Engine.RenPy,2022-12-08,82.0,3,9,82,2022-12-14
7016,Flock of Dogs,/app/812380/,2022-11-30,24,61,12,73,74.38,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Early Access (70)",Max Clark,Max Clark,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.cURL,2022-11-15,83.0,5,9,24,2022-12-11
7017,Race Condition,/app/1209950/,2022-03-01,7,61,12,73,74.38,Racing (9),"Action (1), Casual (4), Indie (23), Racing (9), Simulation (28), Sports (18)",Ravine AB,Ravine AB,Engine.Unity,2022-10-28,82.0,1,2,7,2022-03-04
7018,Goo Gladiators,/app/1966500/,2022-09-22,25,61,12,73,74.38,Free to Play (37),"Free to Play (37), Strategy (2)",SFS Studios,SFS Studios,Engine.MonoGame; SDK.FreeImage; SDK.SDL; SDK.SteamworksNET,2022-09-20,83.0,0,6,25,2022-09-25
7019,Car Detailing Simulator,/app/1433570/,2022-04-13,1165,455,124,579,74.37,Simulation (28),"Casual (4), Indie (23), Racing (9), Simulation (28)",Games Incubator,Games Incubator,Engine.Unity,2023-04-13,78.0,42,46,1165,2022-04-15
7020,IFO,/app/1876000/,2022-05-19,14,53,10,63,74.37,Indie (23),"Indie (23), Simulation (28), Strategy (2)",Lucas Le Slo,Lucas Le Slo,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,2022-05-18,84.0,1,2,14,2022-07-29
7021,Outnumbered,/app/1976230/,2022-09-09,54,125,29,154,74.34,Action (1),"Action (1), Casual (4), Free to Play (37), Indie (23)",Amped Horizon,Amped Horizon,Engine.Unity; SDK.UnityBurst; SDK.UnityEntities; SDK.UnityHybridRenderer; SDK.UnityURP; SDK.cURL,2023-04-14,81.0,6,8,54,2022-09-18
7022,Extremely Realistic Siege Warfare Simulator,/app/1222210/,2022-09-08,103,84,18,102,74.34,Simulation (28),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28), Strategy (2), Early Access (70)",Screambox Studio,Screambox Studio,Engine.Unity; SDK.CRIWARE; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-21,82.0,1,9,103,2022-09-08
7023,Soundfall,/app/1608700/,2022-05-11,665,679,192,871,74.31,Adventure (25),"Action (1), Adventure (25)",Noodlecake,Drastic Games,Engine.Unreal; SDK.EpicOnlineServices; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-05-11,77.0,3,9,665,2022-05-13
7024,Cyphers Game,/app/1945760/,2022-04-21,61,362,97,459,74.31,Free to Play (37),"Casual (4), Free to Play (37), Massively Multiplayer (29), RPG (3)",Instytut Pamięci Narodowej,Chronospace,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-03-28,78.0,0,5,61,2022-04-23
7025,Trash Patrol - Academic Version,/app/1969130/,2022-05-17,53,80,17,97,74.31,Indie (23),"Action (1), Casual (4), Free to Play (37), Indie (23)",MediaCube Games,Jan Mikusch,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,2022-05-17,82.0,9,16,53,2022-08-14
7026,Perseus: Titan Slayer - Free Trial,/app/2133670/,2022-11-16,1366,543,151,694,74.3,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",G-DEVS.com,Sicarius,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-02-02,78.0,0,1,1366,2022-11-16
7027,Tracery of Fate,/app/1710670/,2022-07-29,10,95,21,116,74.29,RPG (3),"Action (1), Adventure (25), RPG (3), Early Access (70)",Sign Narva,Sign Narva,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-12-02,81.0,0,1,10,2022-07-30
7028,Mirror Forge,/app/1807200/,2022-12-06,38,95,21,116,74.29,Indie (23),"Adventure (25), Indie (23), Simulation (28)",DreadXP,MystiveDev,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-12-07,82.0,0,3,38,2022-12-08
7029,The Doll's Window,/app/2142470/,2022-09-20,10,32,5,37,74.28,RPG (3),"Adventure (25), Free to Play (37), Indie (23), RPG (3)",ujumiru,ujumiru,Engine.RPGMaker,2022-09-02,86.0,0,1,10,2022-10-29
7030,Baldur's Gate: Dark Alliance II,/app/1889930/,2022-07-20,638,327,87,414,74.26,RPG (3),"Action (1), RPG (3)",Interplay Entertainment Corp.,Square One Games Inc.,nan,2022-06-03,79.0,25,31,638,2022-07-24
7031,Like an Angel,/app/1671510/,2022-02-11,312,171,42,213,74.26,Casual (4),"Casual (4), Indie (23), RPG (3), Simulation (28)",OTERAS,OTERAS,Engine.Unity,2022-03-10,80.0,0,2,312,2022-03-12
7032,Stranded Deep,/app/313120/,2022-08-11,6036,30084,9874,39958,74.25,Adventure (25),"Adventure (25), Indie (23)",Beam Team Publishing,Beam Team Games,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.cURL,2022-12-14,75.0,714,724,6036,2015-01-24
7033,Amazing Frog ? V3,/app/1559680/,2022-06-16,67,234,60,294,74.25,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28), Early Access (70)",Fayju,Fayju,Engine.Unity; SDK.UnityBurst,2023-01-20,80.0,16,30,67,2022-06-18
7034,风色旅人,/app/2155310/,2022-11-18,247,461,127,588,74.24,RPG (3),"Action (1), Adventure (25), Free to Play (37), Massively Multiplayer (29), RPG (3), Strategy (2)",风色旅人,风色旅人,Engine.Unity,2022-11-18,78.0,12,52,247,2022-12-08
7035,Ascend- Reborn,/app/2113570/,2022-12-01,563,444,122,566,74.23,RPG (3),"Action (1), Free to Play (37), Indie (23), RPG (3)",Outer Heaven,Outer Heaven,SDK.Vorbis,2022-09-23,78.0,14,15,563,2022-12-03
7036,Technicity,/app/781180/,2022-09-15,103,113,26,139,74.22,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",RockGame S.A.,Osaris Games,SDK.JVM,2022-09-18,81.0,15,18,103,2022-09-18
7037,Legend of Kendor,/app/1274230/,2022-12-02,28,23,3,26,74.2,Early Access (70),"Action (1), Adventure (25), Indie (23), Early Access (70)",pickysource,pickysource,Engine.GameMaker,2022-12-13,88.0,0,1,28,2022-12-05
7038,My Master's A Moron,/app/1677580/,2022-06-02,10,23,3,26,74.2,Action (1),"Action (1), Indie (23), RPG (3), Strategy (2)",Potion Junkies,Potion Junkies,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-05-26,88.0,0,0,10,2022-06-04
7039,Medusa's Heart of Stone Chapter 01,/app/1800920/,2022-03-15,4,23,3,26,74.2,Indie (23),"Adventure (25), Indie (23)",Milpitians,Tired Moon Studios,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-11-08,88.0,0,1,4,2022-03-15
7040,Cyclone,/app/1803590/,2022-06-23,4,23,3,26,74.2,Action (1),"Action (1), Casual (4), Indie (23), Early Access (70)",Reep Softworks,Reep Softworks,SDK.FMOD; SDK.OpenAL; SDK.OpenVR; SDK.cURL,2022-05-29,88.0,0,1,4,2022-06-23
7041,Visionarium 2 - The Descent,/app/1917860/,2022-06-20,4,23,3,26,74.2,Simulation (28),"Indie (23), Simulation (28)",Sander Bos,Sander Bos,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenXR; SDK.SteamworksNET; SDK.UnityBurst; SDK.Vorbis; SDK.cURL,2022-06-03,88.0,0,1,4,2022-06-24
7042,Extinction Eclipse,/app/1961250/,2022-11-17,4,23,3,26,74.2,Strategy (2),"Action (1), Indie (23), Strategy (2)",TuanisApps,TuanisApps,Engine.Godot,2022-11-18,92.0,0,3,4,2022-11-17
7043,Airport Administrator Simulator,/app/1974310/,2022-05-14,2,23,3,26,74.2,Indie (23),"Adventure (25), Casual (4), Indie (23), Simulation (28), Sports (18), Strategy (2)",KOA BOA,KOA BOA,Engine.Unity,2022-04-18,88.0,0,1,2,2022-05-21
7044,Quest Together,/app/1070840/,2022-12-24,15,64,13,77,74.19,RPG (3),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3), Early Access (70)",Studio Stefferp,Studio Stefferp,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.UnityBurst,2022-12-18,83.0,2,3,15,2023-01-02
7045,Tim-Tim 2,/app/570110/,2022-05-09,2,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Spoonweaver Studios,Spoonweaver,SDK.SDL,2022-05-02,,0,1,2,2022-05-09
7046,Effigy,/app/1090680/,2022-05-12,2,8,0,8,74.19,Indie (23),"Action (1), Indie (23)",Rubika Supinfogame,Efficiency,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-04-28,,0,0,2,2022-05-12
7047,Cock Soccer,/app/1251250/,2022-02-03,3,8,0,8,74.19,Sports (18),"Casual (4), Indie (23), Sports (18), Early Access (70)",Lobosandia,Lobosandia,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-02-02,,0,0,3,2022-02-03
7048,Maggie the Magnet,/app/1301840/,2022-07-18,4,8,0,8,74.19,Casual (4),"Casual (4), Indie (23)",Khud0,Khud0,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-06-25,,0,0,4,2022-07-18
7049,Bounty,/app/1316460/,2022-06-16,5,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3), Early Access (70)",Wormbrain Inc.,Wormbrain Inc.,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-12-22,,0,0,5,2022-06-17
7050,Bounty,/app/1316460/,2022-06-16,5,8,0,8,74.19,Indie (23),"Action (1), Indie (23)",Cupine Army,Cupine Army,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-11-08,72.0,0,0,3,2022-12-02
7051,Bounty,/app/2211750/,2022-12-02,3,9,3,12,63.45,Indie (23),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3), Early Access (70)",Wormbrain Inc.,Wormbrain Inc.,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-12-22,,0,0,5,2022-06-17
7052,Bounty,/app/2211750/,2022-12-02,3,9,3,12,63.45,Indie (23),"Action (1), Indie (23)",Cupine Army,Cupine Army,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-11-08,72.0,0,0,3,2022-12-02
7053,RainyCloud,/app/1343230/,2022-11-11,2,8,0,8,74.19,Free to Play (37),"Casual (4), Free to Play (37)",inosms,inosms,nan,2022-10-22,,0,0,2,2022-11-12
7054,Smash Crates,/app/1553400/,2022-06-06,4,8,0,8,74.19,Action (1),Action (1),Fat Alien Cat,Fat Alien Cat,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-06-06,,0,0,4,2022-06-28
7055,CAN ANDROIDS SURVIVE,/app/1555920/,2022-06-28,3,8,0,8,74.19,Action (1),"Action (1), Adventure (25)",aPriori Digital,aPriori Digital,Engine.Unity; SDK.FMOD; SDK.UnityURP,2022-06-28,,0,0,3,2022-06-28
7056,We Are Live,/app/1598190/,2022-05-02,4,8,0,8,74.19,RPG (3),"RPG (3), Strategy (2)",Ventus Games,Ventus Games,Engine.Unity; SDK.UnityURP,2021-11-04,,0,0,4,2021-11-06
7057,Mezzanine,/app/1617280/,2022-10-07,4,8,0,8,74.19,Adventure (25),"Adventure (25), Free to Play (37), Indie (23), Simulation (28)",Inpatient Interactive,Inpatient Interactive,nan,2022-09-16,,0,1,4,2022-10-09
7058,Cycled,/app/1632930/,2022-07-11,10,8,0,8,74.19,Action (1),"Action (1), Indie (23), RPG (3)",TwistedNail,TwistedNail,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-07-20,,0,0,10,2021-11-30
7059,A Mirror Puzzle,/app/1655420/,2022-07-15,2,8,0,8,74.19,Indie (23),"Casual (4), Indie (23), Strategy (2), Early Access (70)",IMDT,IMDT,Engine.Unity; SDK.FMOD,2022-06-29,,0,1,2,2022-07-17
