ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
1685,Elemental Raiders,2023-01-16,76,27,Free to Play (37),"Free to Play (37), RPG (3), Strategy (2), Early Access (70)",Games for a Living,Games for a Living,Engine.Unity; SDK.CEF; SDK.UnityBurst,51,2023-01-18
1686,Touch Me,2023-01-12,35,11,Casual (4),"Casual (4), Simulation (28)",DreamBig Games,DreamBig Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,21,2023-01-14
1687,Goblins of Elderstone,2023-03-08,209,82,Indie (23),"Indie (23), Simulation (28), Strategy (2)",Outerdawn,Outerdawn,Engine.Unreal; SDK.CEF; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,163,2023-03-09
1688,Power Chord,2023-01-26,68,24,Strategy (2),"Indie (23), Strategy (2)",Big Blue Bubble,Big Blue Bubble,Engine.Unity; SDK.OpenSSL,167,2023-01-26
1689,Administrators,2023-03-25,24,7,Adventure (25),"Adventure (25), RPG (3)",Studio2760,Dnovel,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,4,2022-06-04
1690,Мафия 1x1,2023-03-10,24,7,Massively Multiplayer (29),"Free to Play (37), Massively Multiplayer (29), Strategy (2)",KartuzOv Games,KartuzOv Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,34,2023-03-12
1691,异世重生 : 枪之勇者 Reincarnation : Hero of the Gun,2023-02-27,32,10,Indie (23),Indie (23),六轮鸭SixLonDuck,六轮鸭SixLonDuck,Engine.Unity; SDK.SteamworksNET; SDK.cURL,98,2023-03-06
1692,Deadly Broadcast,2023-02-02,319,130,Action (1),"Action (1), Adventure (25), Indie (23)",Apphic Games,Apphic Games,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,131,2023-01-22
1693,《蜀山：初章》网络版,2023-04-06,337,138,RPG (3),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",成都忆墨轩网络科技有限公司,重楼工作室,Engine.Unreal; SDK.CEF; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.Vorbis; SDK.XAudio2,1429,2023-04-06
1694,Altf42,2023-03-30,104,39,Adventure (25),"Action (1), Adventure (25), Indie (23), Early Access (70)",GRAVITY,PUMPKIM,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,154,2023-04-12
1695,Otherwar,2023-02-27,42,14,Indie (23),Indie (23),Hyperstrange,kantal collective,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,33,2023-02-27
1696,Alignment,2023-03-10,21,6,Indie (23),"Casual (4), Free to Play (37), Indie (23), Strategy (2)",Vultive Entertainment,Adam Robichaux,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,15,2023-03-12
1698,Dark Prospect,2023-03-05,57,20,Action (1),"Action (1), Indie (23), Strategy (2)",CashcowGames,CashcowGames,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,25,2023-03-06
1699,Make Her Cum,2023-02-02,108,41,Casual (4),"Casual (4), Simulation (28)",DreamBig Games,DreamBig Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,47,2023-02-04
1700,Magic Pussy: Chapter 1,2023-04-08,160,63,Adventure (25),"Action (1), Adventure (25), RPG (3)",Taboo Tales 💘,Taboo Tales 💘,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,582,2023-04-13
1701,paradise of desire,2023-01-11,69,25,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",YLSGame,YLSGame,Engine.Unity; SDK.SteamworksNET; SDK.cURL,62,2023-01-11
1702,Tiny Troopers: Global Ops,2023-03-09,18,5,Action (1),"Action (1), Indie (23)",Wired Productions,Epiphany Games,Engine.Unity; SDK.EpicOnlineServices; SDK.UnityURP,16,2023-03-09
1703,Ultra Blade,2023-02-24,18,5,Action (1),"Action (1), Casual (4), Indie (23), RPG (3), Early Access (70)",Kyle Barrett,Kyle Barrett,Engine.GameMaker,7,2023-02-27
1704,Road 96: Mile 0,2023-04-04,277,114,Adventure (25),"Action (1), Adventure (25), Indie (23)",Digixart,Digixart,Engine.Unity; SDK.Discord; SDK.EpicOnlineServices; SDK.UnityBurst; SDK.cURL,484,2023-04-04
1705,13iew,2023-04-04,26,8,Indie (23),"Adventure (25), Free to Play (37), Indie (23)",GMD Studio,GMD Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,32,2023-04-11
1706,Axiom,2023-01-01,88,33,Action (1),"Action (1), Free to Play (37), Indie (23)",Disaster Soup,Disaster Soup,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,34,2023-01-13
1708,Prepare Uranus: Exploring Black Holes for Adults,2023-01-06,41,14,Casual (4),"Casual (4), Indie (23), Early Access (70)",Alienguy's Games,Alienguy,Engine.RenPy,39,2023-01-07
1709,Survival Nation,2023-02-02,68,25,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,Engine.Unity; SDK.OpenXR; SDK.UnityBurst,38,2023-02-03
1710,Industries of Titan,2023-01-31,917,404,Strategy (2),"Action (1), Indie (23), Simulation (28), Strategy (2)",Brace Yourself Games,Brace Yourself Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2217,2021-06-22
1711,Heavyarms Assemble: WWII,2023-02-03,63,23,Strategy (2),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",XR Studio,XR Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityEntities; SDK.UnityURP,76,2023-02-03
1712,Boxing Gym Story,2023-02-13,48,17,Simulation (28),"Casual (4), Indie (23), Simulation (28), Sports (18), Strategy (2)",Kairosoft Co.Ltd,Kairosoft Co.Ltd,Engine.Unity,242,2023-02-14
1713,A Foreign World,2023-02-06,28,9,Indie (23),"Indie (23), Early Access (70)",HighbornTiger,HighbornTiger,Engine.RenPy,83,2023-02-06
1714,鞭炮&烟花：春节模拟器Firecrackers&fireworks：china new year simulation,2023-01-26,28,9,Simulation (28),"Casual (4), Indie (23), Simulation (28)",阿基米德 尼古拉斯 夏,Archimedes Nicholas Xia,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,20,2023-01-26
1715,Light of Alariya,2023-03-01,84,32,Adventure (25),"Adventure (25), Free to Play (37), RPG (3)",SMU Guildhall,SMU Guildhall,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,80,2023-03-04
1716,Bleak Faith: Forsaken,2023-03-10,1152,515,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Archangel Studios,Archangel Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,1793,2023-03-10
1717,Super Sketch Bob,2023-03-16,3,0,Indie (23),"Action (1), Indie (23)",Wayward Thoughts Interactive,Wayward Thoughts Interactive,SDK.NWJS; SDK.NodeJS,1,2019-09-05
1718,Asteroid Defender!,2023-02-09,3,0,Action (1),"Action (1), Indie (23)",Gray Wolf Interactive LLC,Gray Wolf Interactive LLC,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,1,2018-02-24
1719,Unification,2023-03-01,3,0,Action (1),"Action (1), Adventure (25), Indie (23), Simulation (28), Early Access (70)",CrushPoint Games,Troy Spencer,Engine.Unity; SDK.NVIDIA_DLSS; SDK.OpenXR; SDK.UnityBurst,2,2023-03-03
1720,Johnny Lionface,2023-02-20,3,0,RPG (3),"Action (1), Indie (23), RPG (3)",Myroid-Type Comics,Myroid-Type Comics,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,6,2023-02-28
1724,PocketCiv,2023-01-17,3,0,Strategy (2),"Strategy (2), Early Access (70)",Baby Marsupial Creations,Baby Marsupial Creations,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,6,2023-01-17
1725,Virtual Near Death Experience,2023-03-11,3,0,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",VirtualRehabART4Health,Virtual RehabART4Health VR design: Åsa Egnér Programmer: Johnny Nyman Musician and composer: Hans Nilsson Singers: Norea Sandberg Maria Hjorth Gösta Petersen,Engine.Unity; SDK.OculusXRPlugin,1,2023-03-11
1727,Iron Age,2023-04-05,3,0,Indie (23),"Adventure (25), Casual (4), Indie (23), Strategy (2)",kovalevviktor,GeoTECH,Engine.Unity,7,2022-03-23
1729,Iron Age,2022-03-18,16,6,Indie (23),"Adventure (25), Casual (4), Indie (23), Strategy (2)",kovalevviktor,GeoTECH,Engine.Unity,7,2022-03-23
1730,Anti Frank's Wrath,2023-01-13,3,0,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",Dicey Developers,Duncan,Engine.GameMaker,4,2023-01-15
1731,Super Puzzle Cross,2023-03-29,3,0,Strategy (2),"Indie (23), RPG (3), Strategy (2), Early Access (70)",Iron Ferret Games,Iron Ferret Games,Engine.Unity,3,2023-03-29
1732,BLINNK and the Vacuum of Space,2023-01-17,3,0,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Changingday,Changingday,Engine.Unity; SDK.FMOD; SDK.OpenXR; SDK.Steam_Audio; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,7,2023-01-23
1735,Sinister,2023-01-25,3,0,Indie (23),"Adventure (25), Indie (23), RPG (3)",MpjV,MpjV,Engine.GameMaker,1,2022-02-08
1736,Lucie's Potager,2023-02-16,3,0,RPG (3),"Casual (4), Indie (23), RPG (3)",Stellar Advent Pty Ltd,Stellar Advent Pty Ltd,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2,2023-02-16
1737,Automoji,2023-03-08,3,0,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Karl @ Automoji,Karl @ Automoji,Engine.GameMaker,10,2023-03-10
1739,Seven Spirits,2023-01-20,3,0,Indie (23),"Action (1), Adventure (25), Indie (23)",Bleeding Pixels Games,Bleeding Pixels Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2,2023-01-22
1741,The Cursed Knight,2023-02-09,3,0,Action (1),Action (1),Broke Studio,GGS Studio Creation,SDK.SDL,2,2023-02-09
1744,Ghosts over the Water: Changing the Tides of Japan's Future,2023-03-31,3,0,RPG (3),"Free to Play (37), Indie (23), RPG (3)",Studio Unagi,Studio Unagi,Engine.Unity; SDK.UnityBurst; SDK.cURL,3,2023-03-31
1745,Home By The River,2023-02-15,3,0,RPG (3),"Adventure (25), RPG (3)",GTGD,GTGD,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3,2023-02-18
1746,Cryogenesis,2023-03-07,3,0,Action (1),"Action (1), Adventure (25), Indie (23)",Remainder Studios,Remainder Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,1,2023-03-07
1747,Breakthrough,2023-02-16,3,0,Action (1),Action (1),Fluffy Duck,Fluffy Duck,SDK.Discord; SDK.OpenAL; SDK.cURL,2,2022-08-13
1749,Spike Mtn,2023-03-30,3,0,Indie (23),"Casual (4), Indie (23)",WorldForm,WorldForm,Engine.Unity,1,2023-03-31
1750,Hex,2023-01-27,3,0,RPG (3),"Indie (23), RPG (3), Early Access (70)",Sunny Days,Sunny Days,Engine.Unity; SDK.SteamworksNET,1,2023-01-27
1751,Hex,2023-01-27,3,0,Indie (23),Indie (23),Studio Goya,Studio Goya,Engine.Unity,3,2017-11-06
1752,Hex,2017-11-06,32,5,RPG (3),"Indie (23), RPG (3), Early Access (70)",Sunny Days,Sunny Days,Engine.Unity; SDK.SteamworksNET,1,2023-01-27
1753,Hex,2017-11-06,32,5,Indie (23),Indie (23),Studio Goya,Studio Goya,Engine.Unity,3,2017-11-06
1755,Corgi Cove,2023-02-14,3,0,Indie (23),"Casual (4), Indie (23)",Recall Software,Recall Software,Engine.GameMaker,3,2023-02-16
1756,Thelos,2023-01-12,3,0,Indie (23),"Adventure (25), Indie (23), Early Access (70)",Stefan Videv,Stefan Videv,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityHDRP; SDK.UnityURP; SDK.cURL,2,2023-01-19
1757,Huntscape,2023-03-31,3,0,Action (1),"Action (1), Early Access (70)",Inventio,GreenHillGames,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,4,2023-02-07
1758,Fusion Paradox,2023-04-10,3,0,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",USANIK STD,Nikolai Usachev,Engine.Unity; SDK.FMOD; SDK.UnityBurst,2,2023-04-10
1760,Bugs and Bullets,2023-02-03,3,0,Action (1),"Action (1), Casual (4), Indie (23)",Ludificor,Ludificor,Engine.Unity; SDK.UnityURP; SDK.cURL,4,2023-02-05
1762,OSAWARI HOCKEY えんこちゃん,2023-01-12,3,0,Action (1),"Action (1), Casual (4)",OSARUMODE,OSARUMODE,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2,2023-01-12
1763,Elemental Adventure,2023-02-17,3,0,Action (1),"Action (1), Indie (23), RPG (3)",ZathGames,ZathGames,Engine.Unity; SDK.SteamworksNET; SDK.cURL,6,2023-02-17
1765,BBirthday - Visual Novel,2023-01-20,3,0,Indie (23),Indie (23),Yun Seven,Yun Seven,Engine.Unity; SDK.UnityURP; SDK.cURL,4,2023-02-05
1766,Warung Nasi Campur,2023-02-09,3,0,Casual (4),"Casual (4), Simulation (28), Strategy (2)",CRX Entertainment Pte Ltd,Nexvel Entertainment,Engine.Unity,1,2023-02-09
1767,Island Bender,2023-03-31,3,0,Indie (23),"Action (1), Casual (4), Indie (23), Early Access (70)",Island Bender Games,Island Bender Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4,2023-04-03
1770,タイピングで愛を伝えよ,2023-01-05,3,0,Indie (23),"Casual (4), Indie (23)",INORK Game,INORK Game,Engine.Unity; SDK.UnityBurst,2,2023-01-05
1772,City Z,2023-04-07,3,0,Action (1),"Action (1), Adventure (25), Free to Play (37)",Anvio,Anvio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,5,2023-04-10
1773,City Z,2023-04-07,3,0,Action (1),"Action (1), Indie (23)",Little Cloud Games,Little Cloud Games,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,920,2017-12-08
1774,City Z,2016-04-29,12,14,Action (1),"Action (1), Adventure (25), Free to Play (37)",Anvio,Anvio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,5,2023-04-10
1775,City Z,2016-04-29,12,14,Action (1),"Action (1), Indie (23)",Little Cloud Games,Little Cloud Games,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,920,2017-12-08
1776,Hide and Seek,2023-02-10,3,0,Action (1),"Action (1), Indie (23), Massively Multiplayer (29), Early Access (70)",HIDY GAME,HIDY GAME,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,16,2023-02-21
1777,Hide and Seek,2023-02-10,3,0,Massively Multiplayer (29),"Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",Lucky Dog,Lucky Dog,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,35,2021-11-15
1778,Hide and Seek,2023-02-10,3,0,Action (1),"Action (1), Casual (4), Indie (23), Massively Multiplayer (29), RPG (3)",Funny Games,Funny Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,63,2020-03-14
1779,Hide and Seek,2023-02-10,3,0,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Llama Software,Llama Software,Engine.Unity,88,2017-09-09
1780,Hide and Seek,2021-11-13,84,23,Action (1),"Action (1), Indie (23), Massively Multiplayer (29), Early Access (70)",HIDY GAME,HIDY GAME,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,16,2023-02-21
1781,Hide and Seek,2021-11-13,84,23,Massively Multiplayer (29),"Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",Lucky Dog,Lucky Dog,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,35,2021-11-15
1782,Hide and Seek,2021-11-13,84,23,Action (1),"Action (1), Casual (4), Indie (23), Massively Multiplayer (29), RPG (3)",Funny Games,Funny Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,63,2020-03-14
1783,Hide and Seek,2021-11-13,84,23,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Llama Software,Llama Software,Engine.Unity,88,2017-09-09
1784,Hide and Seek,2019-02-01,450,285,Action (1),"Action (1), Indie (23), Massively Multiplayer (29), Early Access (70)",HIDY GAME,HIDY GAME,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,16,2023-02-21
1785,Hide and Seek,2019-02-01,450,285,Massively Multiplayer (29),"Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",Lucky Dog,Lucky Dog,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,35,2021-11-15
1786,Hide and Seek,2019-02-01,450,285,Action (1),"Action (1), Casual (4), Indie (23), Massively Multiplayer (29), RPG (3)",Funny Games,Funny Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,63,2020-03-14
1787,Hide and Seek,2019-02-01,450,285,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Llama Software,Llama Software,Engine.Unity,88,2017-09-09
1788,Hide and Seek,2017-08-31,145,223,Action (1),"Action (1), Indie (23), Massively Multiplayer (29), Early Access (70)",HIDY GAME,HIDY GAME,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,16,2023-02-21
1789,Hide and Seek,2017-08-31,145,223,Massively Multiplayer (29),"Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",Lucky Dog,Lucky Dog,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,35,2021-11-15
1790,Hide and Seek,2017-08-31,145,223,Action (1),"Action (1), Casual (4), Indie (23), Massively Multiplayer (29), RPG (3)",Funny Games,Funny Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,63,2020-03-14
1791,Hide and Seek,2017-08-31,145,223,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Llama Software,Llama Software,Engine.Unity,88,2017-09-09
1792,Super Death Game SHOW！VR,2023-04-05,3,0,Adventure (25),Adventure (25),INTENSE,INTENSE,Engine.Unreal; SDK.CEF; SDK.NVIDIA_Nsight_Aftermath; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2,2023-04-05
1793,MicroCrawl,2023-02-18,3,0,Adventure (25),"Adventure (25), Indie (23), RPG (3)",ZPJ Interactive,ZPJ Interactive,Engine.Unity; SDK.UnityURP; SDK.cURL,2,2023-02-19
1795,Mimicry,2023-02-10,3,0,Action (1),"Action (1), Indie (23), Massively Multiplayer (29)",Euphoria Games,Euphoria Games,Engine.Unity; SDK.Photon; SDK.cURL,20,2022-08-31
1796,Mimicry,2023-02-10,3,0,Action (1),"Action (1), Casual (4), Indie (23)",Anxiety Monster,Anxiety Monster,SDK.NWJS; SDK.NodeJS,3,2020-09-04
1798,Mimicry,2022-08-25,58,12,Action (1),"Action (1), Indie (23), Massively Multiplayer (29)",Euphoria Games,Euphoria Games,Engine.Unity; SDK.Photon; SDK.cURL,20,2022-08-31
1799,Mimicry,2022-08-25,58,12,Action (1),"Action (1), Casual (4), Indie (23)",Anxiety Monster,Anxiety Monster,SDK.NWJS; SDK.NodeJS,3,2020-09-04
1801,Mimicry,2020-09-04,8,0,Action (1),"Action (1), Indie (23), Massively Multiplayer (29)",Euphoria Games,Euphoria Games,Engine.Unity; SDK.Photon; SDK.cURL,20,2022-08-31
1802,Mimicry,2020-09-04,8,0,Action (1),"Action (1), Casual (4), Indie (23)",Anxiety Monster,Anxiety Monster,SDK.NWJS; SDK.NodeJS,3,2020-09-04
1804,Terix Survivors,2023-02-14,3,0,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",Voge_Games,Voge_Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1,2023-02-14
1806,Candy Arkanoid,2023-01-31,3,0,Casual (4),"Action (1), Casual (4), Indie (23)",velocitystacks,velocitystacks,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2,2023-01-31
1807,激活: Activate,2023-01-18,3,0,Strategy (2),"Casual (4), Free to Play (37), Indie (23), Strategy (2)",千千工作室,千千工作室,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2,2023-01-25
1808,NOTHING TO LOSE,2023-02-13,3,0,Indie (23),"Adventure (25), Indie (23)",ZHANG YUAN,ZHANG YUAN,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2,2023-02-18
1811,Wojak Rush,2023-01-29,3,0,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23)",Flakes Dev,Flakes Dev,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1,2023-01-30
1815,Cave Raider,2023-02-08,3,0,Indie (23),Indie (23),SMT Ent.,SMT Ent.,Engine.GameMaker,2,2023-02-23
1816,Project Nosferatu,2023-02-02,3,0,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Cartel Interactive,Cartel Interactive,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,2,2023-02-06
1817,Disgusting Puzzle,2023-01-27,3,0,Indie (23),Indie (23),STuNT,STuNT,Engine.ClickTeamFusion,1,2023-01-31
1818,YourTrain,2023-02-07,3,0,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",MikuniRailwayGames,MikuniRailwayGames,Engine.Unity; SDK.cURL,4,2023-04-05
1825,Hentai Casual Slider 2,2023-02-02,3,0,Casual (4),Casual (4),Utsukushii Games,Utsukushii Games,Engine.Unity,1,2023-02-02
1826,Mikrocosmos,2023-02-04,3,0,Casual (4),"Action (1), Casual (4), Free to Play (37), Strategy (2), Early Access (70)",Kromo Games,Kromo Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,5,2023-02-05
1828,FIGHTING PUDDING,2023-02-18,3,0,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",KUMA Software,KUMA,Engine.Unity; SDK.cURL,3,2023-02-18
1829,Kiting Mechanics,2023-02-27,3,0,Action (1),"Action (1), Indie (23)",Kiting Mechanics Team,Kiting Mechanics Team,Engine.Unity; SDK.cURL,3,2023-03-25
1830,The Aching,2023-04-05,3,0,Adventure (25),"Adventure (25), Indie (23)",Hadrosaurus Software,Hadrosaurus Software,Emulator.DOSBOX; SDK.SDL,3,2023-04-05
1833,STIVENELVRO LEGENDS,2023-03-31,3,0,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",PATINO PEREZ JOSE CARLOS,BOOT-DARK GAMES,Engine.GameMaker,3,2023-03-03
1836,The Fog,2023-02-28,3,0,Action (1),"Action (1), Casual (4), Indie (23)",krishGames,krishGames,Engine.Godot; SDK.OpenXR,1,2023-02-28
1837,The Fog,2023-02-28,3,0,Adventure (25),"Action (1), Adventure (25), Indie (23)",Horizon Games,Horizon Games,Engine.Unity,3,2017-12-02
1838,The Fog,2017-12-01,4,8,Action (1),"Action (1), Casual (4), Indie (23)",krishGames,krishGames,Engine.Godot; SDK.OpenXR,1,2023-02-28
1839,The Fog,2017-12-01,4,8,Adventure (25),"Action (1), Adventure (25), Indie (23)",Horizon Games,Horizon Games,Engine.Unity,3,2017-12-02
