ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24179,functional,2021-07-09,18,11,Simulation (28),Simulation (28),Marvellous Soft,yancouto,SDK.Vorbis,6,2021-07-13
24180,胡莱三国3,2021-09-08,46,30,Strategy (2),"Casual (4), Free to Play (37), Massively Multiplayer (29), Simulation (28), Strategy (2)",Huochairen Interactive Entertainment,Huochairen Interactive Entertainment,Engine.Unity,107,2021-09-30
24181,Journey of Life,2021-02-01,431,301,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Hyperion Studio Limited,Hyperion Studio Limited,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2; SDK.trueSKY,257,2020-06-07
24182,文字三国,2021-07-15,108,73,Massively Multiplayer (29),"Adventure (25), Casual (4), Free to Play (37), Massively Multiplayer (29), RPG (3)",wywl,wywl,SDK.CEF,132,2021-07-26
24184,Mighty forest,2021-02-03,50,33,Indie (23),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Louie Inc,Louie Inc,Engine.Unity,7,2021-02-04
24185,Car Mechanic Simulator VR,2021-06-08,161,111,Simulation (28),"Racing (9), Simulation (28)",PlayWay S.A.,GameFormatic S.A.,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,59,2021-06-08
24186,The Looking Stone,2021-09-06,134,92,Massively Multiplayer (29),"Free to Play (37), Massively Multiplayer (29), RPG (3)",Magework Studios,Magework Studios,Engine.MonoGame; SDK.OpenAL; SDK.SDL,313,2021-09-06
24187,Vantage: Primitive Survival Game,2021-12-02,44,29,Simulation (28),"Indie (23), Simulation (28)",Crystal Dragon,Crystal Dragon,SDK.FMOD,13,2018-07-29
24188,Carp Fishing Simulator,2021-10-14,121,83,Simulation (28),"Simulation (28), Sports (18)",Dangerous Derk Interactive,Dangerous Derk Interactive,Engine.Unity; SDK.UnityBurst,21,2015-04-29
24189,GunboundM,2021-12-14,142,98,Strategy (2),Strategy (2),DargomStudio,DargomStudio,Engine.Cocos; SDK.OpenAL; SDK.Vorbis; SDK.cURL,155,2021-12-14
24190,LuvSic,2021-06-18,118,81,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",Shiver Game,Shiver Game,Engine.Unity,253,2021-06-19
24191,Sharknado VR: Eye of the Storm (Arcade Edition),2021-12-09,4,2,Action (1),"Action (1), Casual (4), Indie (23), Simulation (28)",Autumn VR,Autumn VR,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2,2021-12-11
24192,Grand Attrition,2021-09-28,4,2,Indie (23),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Session Studios,Session Studios,SDK.JVM,3,2021-10-02
24193,Maze Banquet,2021-08-10,4,2,Adventure (25),"Adventure (25), Indie (23)",bongjicat(BLUE HOUR),bongjicat(BLUE HOUR),Engine.RPGMaker,2,2021-12-16
24194,City Of Thugs,2021-10-02,4,2,RPG (3),"Casual (4), Indie (23), RPG (3), Early Access (70)",Forever Young Games,Forever Young Games,Engine.Unity,3,2021-10-03
24195,Franky the Bumwalker: REBORN,2021-03-03,4,2,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Onlyjoy's production,Onlyjoy's production,SDK.NWJS; SDK.NodeJS,2,2021-03-04
24196,Highlaundry,2021-07-13,4,2,Action (1),"Action (1), Casual (4), Indie (23), Simulation (28)",BigFrog Studios,BigFrog Studios,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,6,2021-10-10
24197,Soul Shifter,2021-08-24,4,2,Indie (23),"Action (1), Adventure (25), Indie (23), Early Access (70)",Innominatum Digital,Innominatum Digital,Engine.Unity; Engine.XNA; SDK.SteamworksNET; SDK.cURL,2,2021-08-25
24198,Asdivine Cross,2021-03-05,4,2,RPG (3),"Adventure (25), RPG (3), Simulation (28), Strategy (2)",KEMCO,Exe Create Inc.,Engine.Unity,8,2021-03-12
24199,Fool's Paradise,2021-09-09,4,2,Adventure (25),"Adventure (25), Indie (23)",Alex V,Alex V,Engine.Unity; SDK.UnityHDRP,4,2021-09-09
